country_code,country_name,year,"Population, total"
PHL,Philippines,2009,94384250.0
PHL,Philippines,2010,96337125.0
PHL,Philippines,2011,98248614.0
PHL,Philippines,2012,100175512.0
PHL,Philippines,2013,102076336.0
PHL,Philippines,2014,103767130.0
PHL,Philippines,2015,105312992.0
PHL,Philippines,2016,106735719.0
PHL,Philippines,2017,108119693.0
PHL,Philippines,2018,109465287.0
PHL,Philippines,2019,110804683.0
PHL,Philippines,2020,112081264.0
PHL,Philippines,2021,113100950.0
PHL,Philippines,2022,113964338.0
PHL,Philippines,2023,114891199.0
,,2024,114891199.0
,,2025,114891199.0
,,2026,114891199.0
,,2027,114891199.0
,,2028,114891199.0
,,2029,114891199.0
,,2030,114891199.0
,,2031,114891199.0
,,2032,114891199.0
,,2033,114891199.0
,,2034,114891199.0
,,2035,114891199.0
SGP,Singapore,2000,4027887.0
SGP,Singapore,2001,4138012.0
SGP,Singapore,2002,4175950.0
SGP,Singapore,2003,4114826.0
SGP,Singapore,2004,4166664.0
SGP,Singapore,2005,4265762.0
SGP,Singapore,2006,4401365.0
SGP,Singapore,2007,4588599.0
SGP,Singapore,2008,4839396.0
SGP,Singapore,2009,4987573.0
SGP,Singapore,2010,5076732.0
SGP,Singapore,2011,5183688.0
SGP,Singapore,2012,5312437.0
SGP,Singapore,2013,5399162.0
SGP,Singapore,2014,5469724.0
SGP,Singapore,2015,5535002.0
SGP,Singapore,2016,5607283.0
SGP,Singapore,2017,5612253.0
SGP,Singapore,2018,5638676.0
SGP,Singapore,2019,5703569.0
SGP,Singapore,2020,5685807.0
SGP,Singapore,2021,5453566.0
SGP,Singapore,2022,5637022.0
SGP,Singapore,2023,5917648.0
,,2024,5917648.0
,,2025,5917648.0
,,2026,5917648.0
,,2027,5917648.0
,,2028,5917648.0
,,2029,5917648.0
,,2030,5917648.0
,,2031,5917648.0
,,2032,5917648.0
,,2033,5917648.0
,,2034,5917648.0
,,2035,5917648.0
THA,Thailand,2000,63007815.0
THA,Thailand,2001,63651141.0
THA,Thailand,2002,64266437.0
THA,Thailand,2003,64868166.0
THA,Thailand,2004,65452047.0
THA,Thailand,2005,66017420.0
THA,Thailand,2006,66567687.0
THA,Thailand,2007,67102394.0
THA,Thailand,2008,67619830.0
THA,Thailand,2009,68121080.0
THA,Thailand,2010,68579447.0
THA,Thailand,2011,69007208.0
THA,Thailand,2012,69436098.0
THA,Thailand,2013,69845114.0
THA,Thailand,2014,70216367.0
THA,Thailand,2015,70540795.0
THA,Thailand,2016,70859841.0
THA,Thailand,2017,71160187.0
THA,Thailand,2018,71376079.0
THA,Thailand,2019,71522271.0
THA,Thailand,2020,71641484.0
THA,Thailand,2021,71727332.0
THA,Thailand,2022,71735329.0
THA,Thailand,2023,71702435.0
,,2024,71702435.0
,,2025,71702435.0
,,2026,71702435.0
,,2027,71702435.0
,,2028,71702435.0
,,2029,71702435.0
,,2030,71702435.0
,,2031,71702435.0
,,2032,71702435.0
,,2033,71702435.0
,,2034,71702435.0
,,2035,71702435.0
VNM,Vietnam,2000,77154011.0
VNM,Vietnam,2001,77969361.0
VNM,Vietnam,2002,78772224.0
VNM,Vietnam,2003,79563777.0
VNM,Vietnam,2004,80338971.0
VNM,Vietnam,2005,81088313.0
VNM,Vietnam,2006,82167897.0
VNM,Vietnam,2007,83633375.0
VNM,Vietnam,2008,85175788.0
VNM,Vietnam,2009,86460018.0
VNM,Vietnam,2010,87455152.0
VNM,Vietnam,2011,88468314.0
VNM,Vietnam,2012,89510356.0
VNM,Vietnam,2013,90573104.0
VNM,Vietnam,2014,91679578.0
VNM,Vietnam,2015,92823254.0
VNM,Vietnam,2016,94000117.0
VNM,Vietnam,2017,95176977.0
VNM,Vietnam,2018,96237319.0
VNM,Vietnam,2019,97173776.0
VNM,Vietnam,2020,98079191.0
VNM,Vietnam,2021,98935098.0
VNM,Vietnam,2022,99680655.0
VNM,Vietnam,2023,100352192.0
,,2024,100352192.0
,,2025,100352192.0
,,2026,100352192.0
,,2027,100352192.0
,,2028,100352192.0
,,2029,100352192.0
,,2030,100352192.0
,,2031,100352192.0
,,2032,100352192.0
,,2033,100352192.0
,,2034,100352192.0
,,2035,100352192.0
