Year,Country,GDP (current US$),GDP (current US$)_Source,GNI per capita,GNI per capita_Source,Industry (% of GDP),Industry (% of GDP)_Source,Manufacturing (% of GDP),Manufacturing (% of GDP)_Source,Foreign direct investment (% of GDP),Foreign direct investment (% of GDP)_Source,"Population, total","Population, total_Source",Urban population (% of total),Urban population (% of total)_Source,Population growth (annual %),Population growth (annual %)_Source,Energy use (kg of oil equivalent per capita),Energy use (kg of oil equivalent per capita)_Source,Electric power consumption (kWh per capita),Electric power consumption (kWh per capita)_Source,Access to electricity (% of population),Access to electricity (% of population)_Source,Fossil fuel energy consumption (% of total),Fossil fuel energy consumption (% of total)_Source,Individuals using the Internet (% of population),Individuals using the Internet (% of population)_Source,Mobile cellular subscriptions (per 100 people),Mobile cellular subscriptions (per 100 people)_Source,PM2.5 air pollution (micrograms per cubic meter),PM2.5 air pollution (micrograms per cubic meter)_Source,CO2 emissions (metric tons per capita),CO2 emissions (metric tons per capita)_Source,Total greenhouse gas emissions (per capita),Total greenhouse gas emissions (per capita)_Source,Demand (TWh),Demand (TWh)_Source,GDP (current US$)_Prophet,GDP (current US$)_Lower_CI,GDP (current US$)_Upper_CI,GNI per capita_Prophet,GNI per capita_Lower_CI,GNI per capita_Upper_CI,Industry (% of GDP)_Prophet,Industry (% of GDP)_Lower_CI,Industry (% of GDP)_Upper_CI,Manufacturing (% of GDP)_Prophet,Manufacturing (% of GDP)_Lower_CI,Manufacturing (% of GDP)_Upper_CI,Foreign direct investment (% of GDP)_Prophet,Foreign direct investment (% of GDP)_Lower_CI,Foreign direct investment (% of GDP)_Upper_CI,"Population, total_Prophet","Population, total_Lower_CI","Population, total_Upper_CI",Urban population (% of total)_Prophet,Urban population (% of total)_Lower_CI,Urban population (% of total)_Upper_CI,Population growth (annual %)_Prophet,Population growth (annual %)_Lower_CI,Population growth (annual %)_Upper_CI,Energy use (kg of oil equivalent per capita)_Prophet,Energy use (kg of oil equivalent per capita)_Lower_CI,Energy use (kg of oil equivalent per capita)_Upper_CI,Electric power consumption (kWh per capita)_Prophet,Electric power consumption (kWh per capita)_Lower_CI,Electric power consumption (kWh per capita)_Upper_CI,Access to electricity (% of population)_Prophet,Access to electricity (% of population)_Lower_CI,Access to electricity (% of population)_Upper_CI,Fossil fuel energy consumption (% of total)_Prophet,Fossil fuel energy consumption (% of total)_Lower_CI,Fossil fuel energy consumption (% of total)_Upper_CI,Individuals using the Internet (% of population)_Prophet,Individuals using the Internet (% of population)_Lower_CI,Individuals using the Internet (% of population)_Upper_CI,Mobile cellular subscriptions (per 100 people)_Prophet,Mobile cellular subscriptions (per 100 people)_Lower_CI,Mobile cellular subscriptions (per 100 people)_Upper_CI,PM2.5 air pollution (micrograms per cubic meter)_Prophet,PM2.5 air pollution (micrograms per cubic meter)_Lower_CI,PM2.5 air pollution (micrograms per cubic meter)_Upper_CI,CO2 emissions (metric tons per capita)_Prophet,CO2 emissions (metric tons per capita)_Lower_CI,CO2 emissions (metric tons per capita)_Upper_CI,Total greenhouse gas emissions (per capita)_Prophet,Total greenhouse gas emissions (per capita)_Lower_CI,Total greenhouse gas emissions (per capita)_Upper_CI,Demand (TWh)_Prophet,Demand (TWh)_Lower_CI,Demand (TWh)_Upper_CI
2010,Singapore,240000000000.0,Historical,44930.0,Historical,26.63587,Historical,20.77383,Historical,23.06947,Historical,5076732.0,Historical,100.0,Historical,1.77183,Historical,5006.62099,Historical,8679.99335,Historical,100.0,Historical,97.68803,Historical,71.0,Historical,143.0129,Historical,13.79681,Historical,9.63035,Historical,11.43484,Historical,45.36,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Singapore,279000000000.0,Historical,48250.0,Historical,25.25959,Historical,19.58255,Historical,17.59603,Historical,5183688.0,Historical,100.0,Historical,2.0849,Historical,5069.17179,Historical,8651.75528,Historical,100.0,Historical,97.70145,Historical,71.0,Historical,147.58175,Historical,15.50309,Historical,9.9049,Historical,11.66125,Historical,46.0,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,Singapore,295000000000.0,Historical,51710.0,Historical,25.0222,Historical,19.11682,Historical,18.74352,Historical,5312437.0,Historical,100.0,Historical,2.45339,Historical,4898.33046,Historical,8673.98522,Historical,100.0,Historical,96.32909,Historical,72.0,Historical,149.92741,Historical,16.92236,Historical,9.44226,Historical,11.02901,Historical,46.94,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,Singapore,308000000000.0,Historical,54470.0,Historical,23.44273,Historical,17.63841,Historical,20.93448,Historical,5399162.0,Historical,100.0,Historical,1.61931,Historical,4880.40607,Historical,8680.60636,Historical,100.0,Historical,94.00616,Historical,80.9021,Historical,154.03463,Historical,18.07666,Historical,9.74877,Historical,11.48613,Historical,47.97,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,Singapore,315000000000.0,Historical,56380.0,Historical,24.16852,Historical,17.99977,Historical,21.81849,Historical,5469724.0,Historical,100.0,Historical,1.29844,Historical,5121.80432,Historical,8844.68759,Historical,100.0,Historical,90.57887,Historical,79.0292,Historical,145.47701,Historical,17.28169,Historical,9.84962,Historical,11.68529,Historical,49.3,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Singapore,308000000000.0,Historical,53160.0,Historical,24.28802,Historical,18.08933,Historical,22.65418,Historical,5535002.0,Historical,100.0,Historical,1.18638,Historical,,Historical,,Historical,100.0,Historical,,Historical,79.013,Historical,145.71812,Historical,17.1833,Historical,9.97067,Historical,11.87922,Historical,50.28,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Singapore,319000000000.0,Historical,53310.0,Historical,23.24516,Historical,17.47442,Historical,20.48652,Historical,5607283.0,Historical,100.0,Historical,1.29744,Historical,,Historical,,Historical,100.0,Historical,,Historical,84.4523,Historical,148.12324,Historical,15.90029,Historical,9.44912,Historical,11.39249,Historical,51.59,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Singapore,343000000000.0,Historical,54920.0,Historical,23.52506,Historical,18.56833,Historical,29.76365,Historical,5612253.0,Historical,100.0,Historical,0.0886,Historical,,Historical,,Historical,100.0,Historical,,Historical,84.4523,Historical,145.40583,Historical,16.07688,Historical,10.1381,Historical,12.31288,Historical,52.28,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Singapore,377000000000.0,Historical,56550.0,Historical,25.39393,Historical,20.7285,Historical,21.75929,Historical,5638676.0,Historical,100.0,Historical,0.4697,Historical,,Historical,,Historical,100.0,Historical,,Historical,88.1656,Historical,147.36172,Historical,15.97686,Historical,9.61665,Historical,11.89825,Historical,52.97,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Singapore,377000000000.0,Historical,58810.0,Historical,24.02135,Historical,19.36385,Historical,28.09499,Historical,5703569.0,Historical,100.0,Historical,1.14428,Historical,,Historical,,Historical,100.0,Historical,,Historical,88.9493,Historical,154.00062,Historical,17.07591,Historical,9.8013,Historical,12.19964,Historical,54.14,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Singapore,349000000000.0,Historical,55290.0,Historical,23.20869,Historical,19.62712,Historical,23.1003,Historical,5685807.0,Historical,100.0,Historical,-0.3119,Historical,,Historical,,Historical,100.0,Historical,,Historical,92.0043,Historical,142.89316,Historical,13.8692,Historical,9.4761,Historical,11.97183,Historical,53.07,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Singapore,434000000000.0,Historical,64970.0,Historical,24.27736,Historical,20.28415,Historical,31.62074,Historical,5453566.0,Historical,100.0,Historical,-4.17034,Historical,,Historical,,Historical,100.0,Historical,,Historical,96.9247,Historical,147.48042,Historical,,Historical,10.21158,Historical,12.99487,Historical,55.79,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Singapore,498000000000.0,Historical,66970.0,Historical,23.74661,Historical,19.72325,Historical,29.8438,Historical,5637022.0,Historical,100.0,Historical,3.30862,Historical,,Historical,,Historical,100.0,Historical,,Historical,95.9539,Historical,156.47905,Historical,,Historical,9.89125,Historical,12.74556,Historical,57.1,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Singapore,501000000000.0,Historical,70590.0,Historical,22.40036,Historical,17.64929,Historical,34.94852,Historical,5917648.0,Historical,100.0,Historical,4.85832,Historical,,Historical,,Historical,,Historical,,Historical,94.2863,Historical,,Historical,,Historical,9.64375,Historical,12.55399,Historical,57.4,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,Singapore,495272467230.90326,VAR_Forecast,59689.16949375504,VAR_Forecast,17.46651306020246,VAR_Forecast,12.150127720994137,VAR_Forecast,-31.33687611644414,VAR_Forecast,5864347.737570762,VAR_Forecast,100.0,VAR_Forecast,-1.037073566680822,VAR_Forecast,3406.2210240000004,VAR_Forecast,7038.971308389359,VAR_Forecast,100.0,VAR_Forecast,92.23598473281572,VAR_Forecast,100.0,VAR_Forecast,173.2530109198084,VAR_Forecast,11.21898445283857,VAR_Forecast,7.282033405348284,VAR_Forecast,10.067047902964449,VAR_Forecast,53.80002573132749,VAR_Forecast,482977331503.7629,452124480183.40247,514166137486.7105,72116.76701033254,67955.22732241542,76293.5887508606,21.49518021213443,20.1105138682902,22.91396303704485,17.16653671349739,14.68223785327213,19.508966093996737,34.85256802800123,28.493171924397053,40.69715735308083,5894579.802949885,5778140.69862318,6022154.090950907,99.73109063955812,99.63282052686064,99.83382488753784,1.7997303365871198,-0.5911258741166772,4.163960243520832,5432.282772876415,4732.930339761659,6119.910564779194,8782.766489780452,8584.040520664134,8962.742388272221,99.75593121497415,99.75593121497415,99.75593121497415,93.67407138867183,93.31464046782604,94.08881294606542,100.0,99.91371879247926,100.0,177.43361377796504,160.90676353402588,196.10955361170505,14.11910500189827,12.3170966032046,15.97791724529134,9.742827288594915,9.352986936424069,10.13307755213638,12.796948387378045,12.308645065284152,13.258359155891382,57.82015778476272,57.21754621424936,58.441343705110896
2025,Singapore,655470466904.8,VAR_Forecast,96908.73579460806,VAR_Forecast,24.813465828368503,VAR_Forecast,17.761922288079507,VAR_Forecast,89.9717487888409,VAR_Forecast,5825233.935943551,VAR_Forecast,100.0,VAR_Forecast,-2.0406569528222045,VAR_Forecast,5990.3495698903525,VAR_Forecast,9038.781805815208,VAR_Forecast,100.0,VAR_Forecast,83.39308402395113,VAR_Forecast,87.7138806363715,VAR_Forecast,146.82400532020142,VAR_Forecast,9.287526892473783,VAR_Forecast,11.40884992318664,VAR_Forecast,15.166588901660695,VAR_Forecast,65.55585999300044,VAR_Forecast,483244102547.61554,452688141854.7278,514095045969.7991,72917.84188728411,68398.9466860955,76782.6344665787,20.511772123076536,19.08131941765776,21.901347374272373,16.459454032589655,14.174586806094084,18.85751899191292,35.87096974221523,30.1563888347644,42.03498377743029,5944202.015105406,5816633.545847932,6074282.140789598,99.13720034896016,98.8244877267529,99.45706158325711,2.0304412097058875,-0.4691557754952924,4.397938366533683,5537.430815303937,4893.983831704714,6216.095745386633,8584.148734880511,8391.016732579226,8765.810845039037,99.75593121497415,99.75593121497415,99.75593121497415,95.4967815304732,94.732227801445,96.32393304080055,100.0,100.0,100.0,180.33925165656743,162.62277252942465,197.89322917568467,13.968773471459974,12.1587045701695,15.86499719295131,9.609937339607402,9.208469727683,9.98194686890498,12.96192495803388,12.463137801122508,13.439346865510451,57.26580833430202,56.66098215077054,57.87333990598427
2026,Singapore,606707093350.5646,VAR_Forecast,57346.76704238422,VAR_Forecast,17.677081283351086,VAR_Forecast,14.485041655005242,VAR_Forecast,-26.12785470968704,VAR_Forecast,6171455.829146151,VAR_Forecast,100.0,VAR_Forecast,5.858693259820521,VAR_Forecast,3908.6777606427313,VAR_Forecast,7499.381753438922,VAR_Forecast,100.0,VAR_Forecast,96.91532024420496,VAR_Forecast,100.0,VAR_Forecast,176.80028662373428,VAR_Forecast,8.416499249020656,VAR_Forecast,9.964096055377375,VAR_Forecast,13.61456386786693,VAR_Forecast,56.80541768485402,VAR_Forecast,478320207482.726,447951348270.522,506381965620.6346,73339.42920536679,69252.59141810426,77524.02130345262,19.30080928463043,17.968213152731266,20.81417538773601,15.592278242675093,13.171792305306482,17.760541220957816,36.83956300023637,31.172327196727743,42.71631342089322,5992544.069652104,5868589.033156944,6120538.51288909,97.97043575232549,97.35176868994104,98.66187602563582,2.248581518695154,-0.3665063811020441,4.488755810769958,5630.58386339318,4996.27378153491,6340.182685886409,8312.024082337197,8119.391520787267,8521.247307035414,99.75593121497415,99.75593121497415,99.81246501224688,97.6914796173289,96.22892172863182,99.19326026135282,100.0,100.0,100.0,182.939522991241,164.92467731439103,200.0,13.816436358404536,12.001150912962618,15.595365222999796,9.436533856846587,9.06687048016703,9.827723720303988,13.169559454514106,12.679975107867548,13.720559738711628,56.25599933295324,55.62364251309534,56.91519285514425
2027,Singapore,813724904091.4203,VAR_Forecast,110076.43045174384,VAR_Forecast,18.56299165345972,VAR_Forecast,8.099162654544346,VAR_Forecast,13.556743680748529,VAR_Forecast,6112123.444125855,VAR_Forecast,100.0,VAR_Forecast,-2.66081025537074,VAR_Forecast,3542.0012599970264,VAR_Forecast,7514.631645743748,VAR_Forecast,100.0,VAR_Forecast,87.6805538295141,VAR_Forecast,100.0,VAR_Forecast,181.98971980315787,VAR_Forecast,8.73369679125279,VAR_Forecast,6.993440428102291,VAR_Forecast,10.474336288453156,VAR_Forecast,68.3391736029525,VAR_Forecast,468244478961.2373,438204095304.00543,499069226556.0123,73384.37170372307,69552.02351571253,77647.27548015946,17.863475769849813,16.509053668669257,19.2222485768723,14.565651349381854,12.360395169674767,17.020348166101705,37.75434689111282,31.846936643275043,43.77746752266226,6039573.588870867,5907031.540116412,6163337.504306619,96.047094833431,95.05686098279588,97.1313946210756,2.453850046428952,0.1585772138729088,4.792154121138639,5711.635195302408,5041.198502654728,6383.73980729519,7966.875122605453,7760.887564824208,8170.466968199818,99.75593121497415,99.75593121497415,99.9458708555995,100.0,97.99970384752038,100.0,100.0,100.0,100.0,185.236144674404,168.83924782897998,200.0,13.662063958838424,11.724156130916564,15.450145474930313,9.222923810755274,8.865688637703832,9.636942984825492,13.419603008763504,12.901499885893529,13.968686197586074,54.79439354077379,54.13709950923041,55.4415538538729
2028,Singapore,720267687778.3292,VAR_Forecast,68383.3510371572,VAR_Forecast,11.32831391660356,VAR_Forecast,8.571904987171411,VAR_Forecast,15.121108888470978,VAR_Forecast,6353451.734113878,VAR_Forecast,100.0,VAR_Forecast,2.966410079248079,VAR_Forecast,3406.2210240000004,VAR_Forecast,6182.979758696427,VAR_Forecast,100.0,VAR_Forecast,93.5328071282265,VAR_Forecast,100.0,VAR_Forecast,180.47975340360605,VAR_Forecast,7.537153849037709,VAR_Forecast,11.345201111746183,VAR_Forecast,15.82964894036938,VAR_Forecast,58.54990782395663,VAR_Forecast,553698216825.4238,521935146925.9057,582351631844.8821,80548.446913102,76455.11833369687,84799.334747176,20.95367938656752,19.516229453178276,22.39229638347869,16.762850816620922,14.408770749627148,19.04020646371291,45.18653959698835,38.75788807836818,51.47809511994379,6033167.014975024,5888601.896535146,6166892.874423566,99.55380546049946,98.16398425289348,100.0,1.6111449816194992,-0.7825484410306456,4.103402855054056,5397.270778948608,4726.073292531872,6078.917165959423,8783.786515562662,8575.338376672087,9008.244158398446,99.75593121497415,99.75593121497415,100.0,96.06532480437176,92.82642605270624,99.23823419469085,100.0,100.0,100.0,191.9704010897889,174.70930171702636,200.0,13.526641693379386,11.721682021342025,15.325240476482076,9.864574277859484,9.46896362634996,10.283472397274146,13.270465239118767,12.733815337586067,13.829390676974157,61.351481257711455,60.70143092721381,61.935534830441696
2029,Singapore,1119431189742.4385,VAR_Forecast,151424.2623665022,VAR_Forecast,28.527354334008557,VAR_Forecast,19.1089098722724,VAR_Forecast,85.68259427578111,VAR_Forecast,6267574.320353985,VAR_Forecast,100.0,VAR_Forecast,-4.413624793341201,VAR_Forecast,8592.529733089399,VAR_Forecast,9789.425940516052,VAR_Forecast,100.0,VAR_Forecast,79.37989256385553,VAR_Forecast,100.0,VAR_Forecast,149.4916916967475,VAR_Forecast,2.747399634834318,VAR_Forecast,10.866316404078002,VAR_Forecast,16.131339609805245,VAR_Forecast,80.09688867494216,VAR_Forecast,553964987869.1091,523516889740.826,583042288254.2037,81349.52179004095,77162.9221202466,85830.69905615044,20.00872661109309,18.586764790244143,21.492252765183856,16.087215892497852,13.873392491548652,18.536435592786507,46.80430167266686,40.81721982121638,52.95105942844901,6082789.227130656,5929233.822161987,6231611.159388532,98.95991516979002,97.13134440169222,100.0,1.841855854740504,-0.4459305360603937,4.11456751228882,5502.418821377014,4855.728884759854,6171.868278134635,8585.168760660727,8356.787950941558,8805.470352882094,99.75593121497415,99.75593121497415,100.0,97.88803494618593,93.45471263632736,100.0,100.0,100.0,100.0,194.87603896838385,178.03240731162262,200.0,13.37631016294105,11.370483034357148,15.13644525836119,9.731684328870424,9.277430141354689,10.133071863048984,13.435441809775186,12.796170271989316,14.0308130198988,60.79713180723694,60.11834495766563,61.43555169952494
2030,Singapore,881823949695.116,VAR_Forecast,49146.586134419296,VAR_Forecast,0.0,VAR_Forecast,0.0,VAR_Forecast,-100.0,VAR_Forecast,6730547.03252804,VAR_Forecast,100.0,VAR_Forecast,7.831147392151238,VAR_Forecast,3406.2210240000004,VAR_Forecast,6012.9356800000005,VAR_Forecast,100.0,VAR_Forecast,100.0,VAR_Forecast,100.0,VAR_Forecast,200.0,VAR_Forecast,13.12402538542604,VAR_Forecast,6.332220166832606,VAR_Forecast,10.517046101779306,VAR_Forecast,55.60565757833917,VAR_Forecast,549041092804.3342,518990255147.0803,579844065731.2909,81771.10910813286,77569.5997972389,85775.83455710557,18.833578463878037,17.27801657467373,20.1401283780964,15.249091549023367,12.893531383265396,17.522983727405787,48.32475040952793,42.33436502221102,54.91869101780164,6131131.281677345,5976317.673138182,6289608.107350033,97.79315057490376,95.43334387797256,100.0,2.059996163726499,-0.4765247902182076,4.541762504442058,5595.571869464876,4898.650048176912,6256.523205310427,8313.0441081186,8083.147620968693,8552.907012525508,99.75593121497415,99.75593121497415,100.0,100.0,94.4973544656643,100.0,100.0,100.0,100.0,197.4763103030629,179.0219641368403,200.0,13.223973049886018,11.355103187800417,15.12144172144272,9.558280846111114,9.129488416462287,10.002140307031954,13.643076306256011,13.037675591513786,14.278275582530242,59.787322805893865,59.10012090191682,60.47735055675922
