country_code,country_name,year,GDP (current US$)
,,2028,514968699239.005
,,2029,514968699239.005
,,2030,514968699239.005
,,2031,514968699239.005
,,2032,514968699239.005
,,2033,514968699239.005
,,2034,514968699239.005
,,2035,514968699239.005
VNM,Vietnam,2000,31172518403.3162
VNM,Vietnam,2001,32685198808.5549
VNM,Vietnam,2002,35064105500.8344
VNM,Vietnam,2003,39552513231.9169
VNM,Vietnam,2004,45427854693.2554
VNM,Vietnam,2005,57633255738.1992
VNM,Vietnam,2006,66371664817.0436
VNM,Vietnam,2007,77414425532.2452
VNM,Vietnam,2008,99130304099.1274
VNM,Vietnam,2009,106014659565.214
VNM,Vietnam,2010,147201173196.979
VNM,Vietnam,2011,172595049183.925
VNM,Vietnam,2012,195590661129.249
VNM,Vietnam,2013,213708811665.34
VNM,Vietnam,2014,233451469642.519
VNM,Vietnam,2015,239258328381.741
VNM,Vietnam,2016,257096001177.982
VNM,Vietnam,2017,281353605986.903
VNM,Vietnam,2018,310106478394.659
VNM,Vietnam,2019,334365270496.667
VNM,Vietnam,2020,346615738537.796
VNM,Vietnam,2021,366474752771.009
VNM,Vietnam,2022,410324028883.325
VNM,Vietnam,2023,429716969043.572
,,2024,429716969043.572
,,2025,429716969043.572
,,2026,429716969043.572
,,2027,429716969043.572
,,2028,429716969043.572
,,2029,429716969043.572
,,2030,429716969043.572
,,2031,429716969043.572
,,2032,429716969043.572
,,2033,429716969043.572
,,2034,429716969043.572
,,2035,429716969043.572
