country_code,country_name,year,Rural population (% of total)
MMR,Myanmar,2001,72.792
MMR,Myanmar,2002,72.609
MMR,Myanmar,2003,72.425
MMR,Myanmar,2004,72.24
MMR,Myanmar,2005,72.054
MMR,Myanmar,2006,71.868
MMR,Myanmar,2007,71.681
MMR,Myanmar,2008,71.493
MMR,Myanmar,2009,71.305
MMR,Myanmar,2010,71.115
MMR,Myanmar,2011,70.925
MMR,Myanmar,2012,70.734
MMR,Myanmar,2013,70.543
MMR,Myanmar,2014,70.35
MMR,Myanmar,2015,70.142
MMR,Myanmar,2016,69.918
MMR,Myanmar,2017,69.678
MMR,Myanmar,2018,69.421
MMR,Myanmar,2019,69.148
MMR,Myanmar,2020,68.859
MMR,Myanmar,2021,68.552
MMR,Myanmar,2022,68.229
MMR,Myanmar,2023,67.888
,,2024,67.888
,,2025,67.888
,,2026,67.888
,,2027,67.888
,,2028,67.888
,,2029,67.888
,,2030,67.888
,,2031,67.888
,,2032,67.888
,,2033,67.888
,,2034,67.888
,,2035,67.888
MYS,Malaysia,2000,38.023
MYS,Malaysia,2001,37.078
MYS,Malaysia,2002,36.144
MYS,Malaysia,2003,35.22
MYS,Malaysia,2004,34.306
MYS,Malaysia,2005,33.406
MYS,Malaysia,2006,32.517
MYS,Malaysia,2007,31.64
MYS,Malaysia,2008,30.775
MYS,Malaysia,2009,29.925
MYS,Malaysia,2010,29.088
MYS,Malaysia,2011,28.391
MYS,Malaysia,2012,27.725
MYS,Malaysia,2013,27.07
MYS,Malaysia,2014,26.423
MYS,Malaysia,2015,25.787
MYS,Malaysia,2016,25.16
MYS,Malaysia,2017,24.553
MYS,Malaysia,2018,23.964
MYS,Malaysia,2019,23.393
MYS,Malaysia,2020,22.84
MYS,Malaysia,2021,22.304
MYS,Malaysia,2022,21.786
MYS,Malaysia,2023,21.284
,,2024,21.284
,,2025,21.284
,,2026,21.284
,,2027,21.284
,,2028,21.284
,,2029,21.284
,,2030,21.284
,,2031,21.284
,,2032,21.284
,,2033,21.284
,,2034,21.284
,,2035,21.284
PHL,Philippines,2000,53.865
PHL,Philippines,2001,53.95
PHL,Philippines,2002,54.035
PHL,Philippines,2003,54.12
PHL,Philippines,2004,54.205
PHL,Philippines,2005,54.29
PHL,Philippines,2006,54.375
PHL,Philippines,2007,54.46
PHL,Philippines,2008,54.545
PHL,Philippines,2009,54.629
PHL,Philippines,2010,54.668
PHL,Philippines,2011,54.478
PHL,Philippines,2012,54.288
PHL,Philippines,2013,54.097
PHL,Philippines,2014,53.907
PHL,Philippines,2015,53.716
PHL,Philippines,2016,53.525
PHL,Philippines,2017,53.318
PHL,Philippines,2018,53.093
PHL,Philippines,2019,52.851
PHL,Philippines,2020,52.592
PHL,Philippines,2021,52.316
PHL,Philippines,2022,52.023
PHL,Philippines,2023,51.713
,,2024,51.713
,,2025,51.713
,,2026,51.713
,,2027,51.713
,,2028,51.713
,,2029,51.713
,,2030,51.713
,,2031,51.713
,,2032,51.713
,,2033,51.713
,,2034,51.713
,,2035,51.713
THA,Thailand,2000,68.614
THA,Thailand,2001,67.452
THA,Thailand,2002,66.266
THA,Thailand,2003,65.059
THA,Thailand,2004,63.831
THA,Thailand,2005,62.589
THA,Thailand,2006,61.327
THA,Thailand,2007,60.05
THA,Thailand,2008,58.758
THA,Thailand,2009,57.457
THA,Thailand,2010,56.144
THA,Thailand,2011,55.302
THA,Thailand,2012,54.555
THA,Thailand,2013,53.807
THA,Thailand,2014,53.057
THA,Thailand,2015,52.306
THA,Thailand,2016,51.552
THA,Thailand,2017,50.8
THA,Thailand,2018,50.051
THA,Thailand,2019,49.308
THA,Thailand,2020,48.57
THA,Thailand,2021,47.837
THA,Thailand,2022,47.111
THA,Thailand,2023,46.392
,,2024,46.392
,,2025,46.392
,,2026,46.392
,,2027,46.392
,,2028,46.392
,,2029,46.392
,,2030,46.392
,,2031,46.392
,,2032,46.392
,,2033,46.392
,,2034,46.392
,,2035,46.392
VNM,Vietnam,2000,75.626
VNM,Vietnam,2001,75.063
VNM,Vietnam,2002,74.489
VNM,Vietnam,2003,73.908
VNM,Vietnam,2004,73.317
VNM,Vietnam,2005,72.719
VNM,Vietnam,2006,72.112
VNM,Vietnam,2007,71.496
VNM,Vietnam,2008,70.872
VNM,Vietnam,2009,70.238
VNM,Vietnam,2010,69.583
VNM,Vietnam,2011,68.92
VNM,Vietnam,2012,68.248
VNM,Vietnam,2013,67.571
VNM,Vietnam,2014,66.885
VNM,Vietnam,2015,66.191
VNM,Vietnam,2016,65.49
VNM,Vietnam,2017,64.787
VNM,Vietnam,2018,64.081
VNM,Vietnam,2019,63.372
VNM,Vietnam,2020,62.66
VNM,Vietnam,2021,61.948
VNM,Vietnam,2022,61.234
VNM,Vietnam,2023,60.52
,,2024,60.52
,,2025,60.52
,,2026,60.52
,,2027,60.52
,,2028,60.52
,,2029,60.52
,,2030,60.52
,,2031,60.52
,,2032,60.52
,,2033,60.52
,,2034,60.52
,,2035,60.52
