country_code,country_name,year,Fossil fuel energy consumption (% of total)
SGP,Singapore,2007,98.1286997395141
SGP,Singapore,2008,98.2467526672708
SGP,Singapore,2009,97.9328422483173
SGP,Singapore,2010,97.6880328585997
SGP,Singapore,2011,97.7014503745766
SGP,Singapore,2012,96.3290893976468
SGP,Singapore,2013,94.0061562567706
SGP,Singapore,2014,90.5788735805032
,,2015,90.5788735805032
,,2016,90.5788735805032
,,2017,90.5788735805032
,,2018,90.5788735805032
,,2019,90.5788735805032
,,2020,90.5788735805032
,,2021,90.5788735805032
,,2022,90.5788735805032
,,2023,90.5788735805032
,,2024,90.5788735805032
,,2025,90.5788735805032
,,2026,90.5788735805032
,,2027,90.5788735805032
,,2028,90.5788735805032
,,2029,90.5788735805032
,,2030,90.5788735805032
,,2031,90.5788735805032
,,2032,90.5788735805032
,,2033,90.5788735805032
,,2034,90.5788735805032
,,2035,90.5788735805032
THA,Thailand,2000,78.7434647365086
THA,Thailand,2001,81.1944035340356
THA,Thailand,2002,81.9283608360686
THA,Thailand,2003,82.0314704145956
THA,Thailand,2004,82.0571987898801
THA,Thailand,2005,81.8133037575854
THA,Thailand,2006,81.5614334816661
THA,Thailand,2007,81.1523351475608
THA,Thailand,2008,80.5707908532285
THA,Thailand,2009,80.1335424858594
THA,Thailand,2010,79.9930566926308
THA,Thailand,2011,80.1938891061772
THA,Thailand,2012,80.1621366082619
THA,Thailand,2013,80.6669969491399
THA,Thailand,2014,79.83902265055
,,2015,79.83902265055
,,2016,79.83902265055
,,2017,79.83902265055
,,2018,79.83902265055
,,2019,79.83902265055
,,2020,79.83902265055
,,2021,79.83902265055
,,2022,79.83902265055
,,2023,79.83902265055
,,2024,79.83902265055
,,2025,79.83902265055
,,2026,79.83902265055
,,2027,79.83902265055
,,2028,79.83902265055
,,2029,79.83902265055
,,2030,79.83902265055
,,2031,79.83902265055
,,2032,79.83902265055
,,2033,79.83902265055
,,2034,79.83902265055
,,2035,79.83902265055
VNM,Vietnam,2000,46.2734873538112
VNM,Vietnam,2001,47.913812186498
VNM,Vietnam,2002,52.2715155184712
VNM,Vietnam,2003,53.5150715499385
VNM,Vietnam,2004,58.2632847635648
VNM,Vietnam,2005,60.5328603933172
VNM,Vietnam,2006,60.7242132786692
VNM,Vietnam,2007,62.7298752297796
VNM,Vietnam,2008,64.5638521929196
VNM,Vietnam,2009,66.7963942866577
VNM,Vietnam,2010,70.3281775071395
VNM,Vietnam,2011,68.4988899076788
VNM,Vietnam,2012,66.9781044923393
VNM,Vietnam,2013,69.8218365547114
,,2014,69.8218365547114
,,2015,69.8218365547114
,,2016,69.8218365547114
,,2017,69.8218365547114
,,2018,69.8218365547114
,,2019,69.8218365547114
,,2020,69.8218365547114
,,2021,69.8218365547114
,,2022,69.8218365547114
,,2023,69.8218365547114
,,2024,69.8218365547114
,,2025,69.8218365547114
,,2026,69.8218365547114
,,2027,69.8218365547114
,,2028,69.8218365547114
,,2029,69.8218365547114
,,2030,69.8218365547114
,,2031,69.8218365547114
,,2032,69.8218365547114
,,2033,69.8218365547114
,,2034,69.8218365547114
,,2035,69.8218365547114
