country_code,country_name,year,Urban population (% of total)
PHL,Philippines,2021,47.684
PHL,Philippines,2022,47.977
PHL,Philippines,2023,48.287
,,2024,48.287
,,2025,48.287
,,2026,48.287
,,2027,48.287
,,2028,48.287
,,2029,48.287
,,2030,48.287
,,2031,48.287
,,2032,48.287
,,2033,48.287
,,2034,48.287
,,2035,48.287
SGP,Singapore,2000,100.0
SGP,Singapore,2001,100.0
SGP,Singapore,2002,100.0
SGP,Singapore,2003,100.0
SGP,Singapore,2004,100.0
SGP,Singapore,2005,100.0
SGP,Singapore,2006,100.0
SGP,Singapore,2007,100.0
SGP,Singapore,2008,100.0
SGP,Singapore,2009,100.0
SGP,Singapore,2010,100.0
SGP,Singapore,2011,100.0
SGP,Singapore,2012,100.0
SGP,Singapore,2013,100.0
SGP,Singapore,2014,100.0
SGP,Singapore,2015,100.0
SGP,Singapore,2016,100.0
SGP,Singapore,2017,100.0
SGP,Singapore,2018,100.0
SGP,Singapore,2019,100.0
SGP,Singapore,2020,100.0
SGP,Singapore,2021,100.0
SGP,Singapore,2022,100.0
SGP,Singapore,2023,100.0
,,2024,100.0
,,2025,100.0
,,2026,100.0
,,2027,100.0
,,2028,100.0
,,2029,100.0
,,2030,100.0
,,2031,100.0
,,2032,100.0
,,2033,100.0
,,2034,100.0
,,2035,100.0
THA,Thailand,2000,31.386
THA,Thailand,2001,32.548
THA,Thailand,2002,33.734
THA,Thailand,2003,34.941
THA,Thailand,2004,36.169
THA,Thailand,2005,37.411
THA,Thailand,2006,38.673
THA,Thailand,2007,39.95
THA,Thailand,2008,41.242
THA,Thailand,2009,42.543
THA,Thailand,2010,43.856
THA,Thailand,2011,44.698
THA,Thailand,2012,45.445
THA,Thailand,2013,46.193
THA,Thailand,2014,46.943
THA,Thailand,2015,47.694
THA,Thailand,2016,48.448
THA,Thailand,2017,49.2
THA,Thailand,2018,49.949
THA,Thailand,2019,50.692
THA,Thailand,2020,51.43
THA,Thailand,2021,52.163
THA,Thailand,2022,52.889
THA,Thailand,2023,53.608
,,2024,53.608
,,2025,53.608
,,2026,53.608
,,2027,53.608
,,2028,53.608
,,2029,53.608
,,2030,53.608
,,2031,53.608
,,2032,53.608
,,2033,53.608
,,2034,53.608
,,2035,53.608
VNM,Vietnam,2000,24.374
VNM,Vietnam,2001,24.937
VNM,Vietnam,2002,25.511
VNM,Vietnam,2003,26.092
VNM,Vietnam,2004,26.683
VNM,Vietnam,2005,27.281
VNM,Vietnam,2006,27.888
VNM,Vietnam,2007,28.504
VNM,Vietnam,2008,29.128
VNM,Vietnam,2009,29.762
VNM,Vietnam,2010,30.417
VNM,Vietnam,2011,31.08
VNM,Vietnam,2012,31.752
VNM,Vietnam,2013,32.429
VNM,Vietnam,2014,33.115
VNM,Vietnam,2015,33.809
VNM,Vietnam,2016,34.51
VNM,Vietnam,2017,35.213
VNM,Vietnam,2018,35.919
VNM,Vietnam,2019,36.628
VNM,Vietnam,2020,37.34
VNM,Vietnam,2021,38.052
VNM,Vietnam,2022,38.766
VNM,Vietnam,2023,39.48
,,2024,39.48
,,2025,39.48
,,2026,39.48
,,2027,39.48
,,2028,39.48
,,2029,39.48
,,2030,39.48
,,2031,39.48
,,2032,39.48
,,2033,39.48
,,2034,39.48
,,2035,39.48
